name,type,start_time,duration,"value","protocol","severity","rule","summary","field","message"
"Regress HLA","optical_event",0.08808601,0.00002115,,"CMIS",,,"Set Reg Address -> 0x03 (3)",,
"Regress HLA","optical_field",0.08813527,0.00002193,"LowPwr (Low Power) [FAULT_FLAG]","CMIS",,,,"Module State",
"Regress HLA","optical_field",0.08815848,0.00002147,"OK (Normal)","CMIS",,,,"Flags Summary (bank 0)",
"Regress HLA","optical_field",0.08818124,0.00002147,"OK (Normal)","CMIS",,,,"Flags Summary (bank 1)",
"Regress HLA","optical_field",0.088204,0.00002148,"OK (Normal)","CMIS",,,,"Flags Summary (bank 2)",
"Regress HLA","optical_field",0.08822676,0.00002147,"OK (Normal)","CMIS",,,,"Flags Summary (bank 3)",
"Regress HLA","optical_field",0.08824951,0.00002148,"OK (Normal)","CMIS",,,,"Module Flags",
"Regress HLA","optical_field",0.08827228,0.00002147,"OK (Normal)","CMIS",,,,"Global Flags",
"Regress HLA","optical_field",0.08829503,0.00002148,"OK (Normal)","CMIS",,,,"Aux 1/2 Flags",
"Regress HLA","optical_field",0.0883178,0.00002147,"OK (Normal)","CMIS",,,,"Aux 3 / Custom Flags",
"Regress HLA","optical_event",0.08834055,0.00002148,,"CMIS",,,"Read Reg[0x0C] = 0x00",,
"Regress HLA","optical_event",0.08836331,0.00002148,,"CMIS",,,"Read Reg[0x0D] = 0x00",,
"Regress HLA","optical_field",0.08840883,0.00002148,"0.00 °C","CMIS",,,,"Module Temperature",
"Regress HLA","optical_field",0.08845435,0.00002177,"0.000 V","CMIS",,,,"Supply Voltage Vcc",
"Regress HLA","optical_field",0.08850016,0.00002148,"0 (raw) [assumed custom]","CMIS",,,,"Aux1MonValue",
"Regress HLA","optical_field",0.08854568,0.00002148,"0.00 °C [assumed laser_temperature]","CMIS",,,,"Aux2MonValue",
"Regress HLA","optical_field",0.0885912,0.00002148,"0.00 °C [assumed laser_temperature]","CMIS",,,,"Aux3MonValue",
"Regress HLA","optical_field",0.08863672,0.00002147,"0 (raw)","CMIS",,,,"CustomMonValue",
"Regress HLA","optical_field",0.08865947,0.00002134,"LowPwrAllowRequestHW","CMIS",,,,"Module Control",
"Regress HLA","optical_event",0.09008654,0.00002131,,"CMIS",,,"Set Reg Address -> 0x7F (127)",,
"Regress HLA","optical_event",0.09010913,0.00002112,,"CMIS",,,"Page Select -> Page 0x02",,
"Regress HLA","optical_event",0.10408604,0.00002114,,"CMIS",,,"Set Reg Address -> 0x80 (128)",,
"Regress HLA","optical_field",0.10415851,0.00002148,"75.00 °C","CMIS",,,,"TempMonHighAlarmThreshold",
"Regress HLA","optical_field",0.10420403,0.00002147,"-5.00 °C","CMIS",,,,"TempMonLowAlarmThreshold",
"Regress HLA","optical_field",0.10424954,0.00002148,"70.00 °C","CMIS",,,,"TempMonHighWarningThreshold",
"Regress HLA","optical_field",0.10429506,0.00002148,"0.00 °C","CMIS",,,,"TempMonLowWarningThreshold",
"Regress HLA","optical_field",0.10434058,0.00002148,"3.630 V","CMIS",,,,"VccMonHighAlarmThreshold",
"Regress HLA","optical_field",0.1043861,0.00002148,"2.970 V","CMIS",,,,"VccMonLowAlarmThreshold",
"Regress HLA","optical_field",0.10443162,0.00002148,"3.465 V","CMIS",,,,"VccMonHighWarningThreshold",
"Regress HLA","optical_field",0.10447742,0.00002148,"3.135 V","CMIS",,,,"VccMonLowWarningThreshold",
"Regress HLA","optical_field",0.10452294,0.00002148,"0 (raw) [assumed custom]","CMIS",,,,"Aux1MonHighAlarmThreshold",
"Regress HLA","optical_field",0.10456846,0.00002148,"0 (raw) [assumed custom]","CMIS",,,,"Aux1MonLowAlarmThreshold",
"Regress HLA","optical_field",0.10461398,0.00002148,"0 (raw) [assumed custom]","CMIS",,,,"Aux1MonHighWarningThreshold",
"Regress HLA","optical_field",0.1046595,0.00002148,"0 (raw) [assumed custom]","CMIS",,,,"Aux1MonLowWarningThreshold",
"Regress HLA","optical_field",0.10470502,0.00002148,"0.00 °C [assumed laser_temperature]","CMIS",,,,"Aux2MonHighAlarmThreshold",
"Regress HLA","optical_field",0.10475054,0.00002148,"0.00 °C [assumed laser_temperature]","CMIS",,,,"Aux2MonLowAlarmThreshold",
